0	29	1
0	29	2
3	29	4
5	29	6
7	29	8
3	29	9
10	29	11
7	29	12
13	29	14
3	29	15
7	29	16
17	29	18
7	29	19
3	29	20
3	29	21
3	29	22
3	29	23
3	29	24
3	29	25
13	29	26
3	29	27
13	29	28
3	29	29
3	29	30
31	29	18
3	29	32
7	29	33
3	29	34
13	29	35
36	29	37
3	29	38
7	29	14
3	29	39
40	29	41
3	29	42
7	29	43
3	29	44
13	29	45
3	29	46
7	29	47
48	29	49
3	29	50
7	29	51
52	29	18
3	29	53
3	29	54
3	29	55
3	29	56
3	29	57
58	29	59
60	29	61
3	29	62
7	29	63
3	29	64
3	29	65
13	29	66
67	29	68
7	29	69
7	29	70
3	29	71
72	29	18
3	29	73
3	29	74
7	29	75
3	29	76
3	29	77
7	29	78
3	29	79
3	29	80
3	29	81
7	29	82
3	29	83
7	29	84
13	29	85
3	29	86
7	29	87
88	29	37
7	29	89
3	29	90
0	29	91
13	29	92
93	23	94
95	23	96
97	23	98
99	23	100
101	23	102
103	23	104
105	23	106
107	23	104
108	23	109
110	23	111
99	23	112
49	23	113
114	23	115
116	23	117
116	23	118
119	23	113
120	23	121
122	23	123
124	23	125
126	23	127
99	23	128
108	23	129
108	23	130
131	23	132
116	23	133
134	23	135
136	23	137
138	23	139
107	23	140
99	23	141
103	23	142
143	23	144
145	23	146
116	23	147
148	23	149
150	23	151
103	23	152
153	23	154
126	23	155
108	23	156
126	23	157
107	23	158
99	23	159
160	23	161
162	23	163
116	23	164
110	23	165
166	23	113
131	23	167
107	23	168
169	23	170
171	23	172
99	23	173
107	23	110
108	23	174
175	23	176
2	23	113
81	23	113
107	23	103
138	23	131
108	23	177
178	23	179
180	23	113
126	23	181
182	23	99
103	23	183
108	23	184
185	23	113
116	23	186
99	23	187
188	23	189
190	23	191
114	23	192
193	23	194
195	23	196
99	23	197
198	23	199
200	23	98
201	23	113
202	23	203
204	23	113
205	23	206
207	23	161
208	23	209
210	23	211
212	23	127
213	23	113
103	23	158
103	23	154
103	23	110
126	23	214
215	23	113
216	23	217
98	23	218
219	23	220
126	23	221
3	23	222
103	23	223
224	23	89
131	23	225
226	23	227
228	23	229
230	23	231
187	23	232
178	23	233
234	23	135
235	23	236
205	23	237
195	23	238
239	23	163
240	23	241
242	23	154
243	23	244
245	23	137
131	23	246
126	23	137
99	23	247
248	23	249
250	23	113
251	23	113
252	23	253
212	23	181
254	23	255
138	23	256
99	23	257
258	23	259
260	23	137
261	23	113
221	23	262
235	23	231
263	23	209
103	23	264
265	23	266
107	23	267
99	23	268
269	23	270
107	23	111
131	23	94
138	23	199
271	23	113
93	23	108
145	23	272
126	23	219
146	23	273
138	23	274
108	23	275
107	23	183
116	23	143
265	23	276
126	23	277
99	23	278
116	23	144
279	23	280
230	23	236
110	23	168
281	23	282
145	23	283
284	23	113
182	23	285
97	23	218
103	23	286
287	23	113
199	23	168
288	23	113
230	23	289
99	23	232
145	23	290
126	23	193
99	23	285
281	23	291
292	23	293
107	23	264
103	23	267
169	23	294
148	23	295
187	23	296
297	23	113
298	23	299
95	23	300
126	23	262
107	23	165
138	23	235
108	23	281
198	23	129
301	23	113
302	23	113
303	23	304
200	23	108
305	23	91
126	23	306
103	23	111
307	23	308
103	23	168
122	23	309
310	23	113
311	4	34
312	4	26
